Course Code,Title,Credits,Attributes,Description,Typically Offered,Sections
AAAD-A 398,ADVANCED TOPICS IN SOCIAL AND HISTORICAL STUDIES FOR AAADS,3 credits,COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375),"Advanced study with analysis of selected issues and problems within the African American and African Diaspora experience utilizing interdisciplinary interpretation through analytical reasoning and philosophical discussions.  Varied topics primarily in the areas of history, politics, sociology, anthropology, and economics.","Spring, Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
2:20 PM–3:35 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 238 | Valerie Grim | 30/30
Waitlist 0"
AAAD-A 398,BLACK FOODWAYS (ADVANCED TOPICS IN SOCIAL AND HISTORICAL STUDIES FOR AAADS),3 credits,COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375),"Advanced study with analysis of selected issues and problems within the African American and African Diaspora experience utilizing interdisciplinary interpretation through analytical reasoning and philosophical discussions.  Varied topics primarily in the areas of history, politics, sociology, anthropology, and economics.","Spring, Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
2:20 PM–3:35 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 238 | Valerie Grim | 30/30
Waitlist 0"
AAAD-A 398,THE SOUL ERA (ADVANCED TOPICS IN SOCIAL AND HISTORICAL STUDIES FOR AAADS),3 credits,COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375),"Advanced study with analysis of selected issues and problems within the African American and African Diaspora experience utilizing interdisciplinary interpretation through analytical reasoning and philosophical discussions.  Varied topics primarily in the areas of history, politics, sociology, anthropology, and economics.","Spring, Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
2:20 PM–3:35 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 238 | Valerie Grim | 30/30
Waitlist 0"
AAAD-A 398,HISTORY OF BLACK WEALTH (ADVANCED TOPICS IN SOCIAL AND HISTORICAL STUDIES FOR AAADS),3 credits,COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375); COLL (CASE) S&H Breadth of Inquiry credit (375),"Advanced study with analysis of selected issues and problems within the African American and African Diaspora experience utilizing interdisciplinary interpretation through analytical reasoning and philosophical discussions.  Varied topics primarily in the areas of history, politics, sociology, anthropology, and economics.","Spring, Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
2:20 PM–3:35 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 238 | Valerie Grim | 30/30
Waitlist 0"
AAAD-A 399,ADVANCED TOPICS IN ARTS AND HUMANITIES FOR AAADS,3 credits,COLL (CASE) A&H Breadth of Inquiry credit (383); COLL (CASE) A&H Breadth of Inquiry credit (383),"Advanced study and analysis of selected issues and problems within the African American and African diaspora experience utilizing inter-disciplinary interpretations  through analytical reasoning and philosophical discussions.  Varied topics primarily in the areas of dance, music, film, theatre and drama, and literature.",Summer,"Class #: Open | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | ED 1002 | Maisha Wester | 24/24
Waitlist 0"
AAAD-A 399,BLACK FEMINIST LITERATURE (ADVANCED TOPICS IN ARTS AND HUMANITIES FOR AAADS),3 credits,COLL (CASE) A&H Breadth of Inquiry credit (383); COLL (CASE) A&H Breadth of Inquiry credit (383),"Advanced study and analysis of selected issues and problems within the African American and African diaspora experience utilizing inter-disciplinary interpretations  through analytical reasoning and philosophical discussions.  Varied topics primarily in the areas of dance, music, film, theatre and drama, and literature.",Summer,"Class #: Open | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | ED 1002 | Maisha Wester | 24/24
Waitlist 0"
AAAD-A 420,TRANSFORMING DIVIDED COMMUNITIES AND SOCIETIES,3 credits,COLL (CASE) S&H Breadth of Inquiry credit (375),"Investigation of divided societies and of strategies for transforming such communities. Students will consider societies (both past and present) divided by race, ethnicity, gender, class, caste, tribe, or religion, and will study responses such as civil rights, affirmative action, reparation policies, and reconciliation tribunals.","Summer, Fall","Class #: Open | MW
Monday, Wednesday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | SY 103 | Carolyn Calloway-Thomas | 12/22
Waitlist 0"
AAAD-A 427,CROSS-CULTURAL COMMUNICATION,3 credits,,"A survey study of national, cultural, and cross-cultural persuasion in theory and practice.",Fall,"Class #: Open | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 209 | Carolyn Calloway-Thomas | 21/24
Waitlist 0"
AAAD-A 479,CONTEMPORARY BLACK POETRY,3 credits,COLL (CASE) A&H Breadth of Inquiry credit (383),,Fall,"Class #: Open | TuTh
Tuesday, Thursday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | WH 109 | Maria Hamilton Abegunde | 4/25
Waitlist 0"
AAAD-A 481,RACISM AND THE LAW,3 credits,COLL (CASE) S&H Breadth of Inquiry credit (375),Contemporary racial problems in American Society with regard to law and constitutional principles of basic freedoms and associated conflicts. Effects of societal norms and impact of racism.,Fall,"Class #: Closed | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 144 | Frank Motley | 0/35
Waitlist 1"
AAAD-A 493,SENIOR SEMINAR IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES,3 credits,,Lecture/discussions on Afro-American studies as an interdisciplinary field of inquiry and scholarship. Students will develop individual or group projects that synthesize their experiences as majors by demonstrating the interrelatedness of the department's concentration areas.,Fall,"Class #: Open | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 333 | Valerie Grim | 16/19
Waitlist 0"
AAAD-A 499,HONORS THESIS,3 credits,,"Development, completion, and defense of Honors thesis.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 3/3
Waitlist 0"
AAAD-A 500,INTR AFRC AM&AFRC DIASP PART I,3 credits,,"Through an interdisciplinary approach, students are introduced to the major works concerning the historical, cultural, and intellectual experiences of Africans in the Diaspora, and the research, methodology, and theoretical questions raised therein in preparation for study in Afro-American studies.",Fall,"Class #: Open | W
Wednesday
9:10 AM–11:40 AM
Regular Academic Session
8/25/2025–12/19/2025 | BH 647 | Valerie Grim | 7/10
Waitlist 0"
AAAD-A 555,CARIB/AFRO-AMER/AFRI LEADRSHP,3 credits,,"Course will deal with aspects of Caribbean, African-American, and African leadership that influenced the struggles for decolonization and civil rights in the Caribbean, United States, and Africa. The course will also discuss how leaders of the three areas were much more interested in political freedom than economic emancipation.",Fall,"Class #: Open | TuTh
Tuesday, Thursday
3:55 PM–5:10 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 312 | Nana Amoah-Ramey | 5/10
Waitlist 0"
AAAD-A 599,MA THESIS RESEARCH,1–6 credits,,Students who are have completed their MA coursework should take this course to work on their thesis research. These credits are intended to give the student credit for work done on the thesis.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 5/5
Waitlist 0"
AAAD-A 620,TRANSFORMING DIVIDED COMMUNITIES AND SOCIETIES,3 credits,,"Investigation of divided societies and of strategies for transforming such communities. Students will consider societies (both past and present) divided by race, ethnicity, gender, class, caste, tribe, or religion, and will study responses such as civil rights, affirmative action, reparation policies, and reconciliation tribunals.","Summer, Fall","Class #: Open | MW
Monday, Wednesday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | SY 103 | Carolyn Calloway-Thomas | 8/8
Waitlist 0"
AAAD-A 669,INDEP PROJ BLACK SOCIAL ISSUES,3 credits,,This course is designed to meet individual interests of students by providing opportunities for research on a chosen topic and by encouraging non-traditional approaches or settings in the application of concepts developed in formal classes.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 5/5
Waitlist 0"
AAAD-A 679,CONTEMPORARY BLACK POETRY,3 credits,,"An examination of Black poetry from Dunbar to the present, emphasizing the emergence, growth, and development of Black consciousness as a positive ethnic identification.",Fall,"Class #: Open | TuTh
Tuesday, Thursday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | WH 109 | Maria Hamilton Abegunde | 4/5
Waitlist 0"
AAAD-A 686,GRAD INTERNSHIP AFRO-AMER STDS,4 credits,,"Directed  readings, work experience, journal, oral presentation. Most research experiences will require research skills.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 3/3
Waitlist 0"
AAAD-A 689,INDEP. PROG. IN BLK LITERATURE,3 credits,,This course is designed to meet individual interests of students by providing opportunities for research on a chosen topic and by encouraging non-traditional approaches or settings in the application of concepts developed in formal classes.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 5/5
Waitlist 0"
AAAD-A 698,FIELD STUDY SEMINAR,4 credits,,"This course is for the development of the final master's project. A critical paper, a thesis-length documentation of a field study, or a substantial record of creative activity are required.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 4/5
Waitlist 0"
AAAD-A 699,INDPT PROJECT IN BLACK MUS,3 credits,,This course is designed to meet individual interests of students by providing opportunities for research on a chosen topic and by encouraging non-traditional approaches or settings in the application of concepts developed in formal class settings.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 5/5
Waitlist 0"
AAAD-A 799,STUDY AND RESEARCH ABROAD IN AAADS,3 credits,,"This course is designed to introduce students to different peoples, cultures, histories, literary works, political systems and others by having them spend time in Diasporic communities concerning peoples of African descent.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 5/5
Waitlist 0"
AAAD-A 899,AAADS PHD DISSERTATION RESEARCH,1–12 credits,,Students who are candidates should take this course to work on their dissertation research.  These credits are intended to give the student credit for work done on the dissertation.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 6/10
Waitlist 0"
AAAD-G 599,THESIS RESEARCH,0 credits,,Master's students who have enrolled in 30 or more hours of graduate course work applicable to the degree and who have completed all other requirements of the degree except the thesis of final project of performance may enroll in G599.  Requires section authorization.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 5/5
Waitlist 0"
AAAD-G 901,ADVANCED RESEARCH,6 credits,,"Available to graduate students who have completed all course requirements for their doctorates, have passed doctoral qualifying examinations, and have the requisite number of degree credit hours, this course provides the advanced research student with a forum for sharing ideas and problems under the supervision of a senior researcher.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 8/10
Waitlist 0"
AAAD-X 373,INTERNSHIP IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES,1–3 credits,,"Directed readings, field research, research papers. Certain internship experiences may require research skills.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 3/3
Waitlist 0"
AAAD-X 490,INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES,1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM SECULAR MUSIC (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM FICTION (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM NON-FICTION (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM SOCIAL ISSUES (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM THTR & DRAMA (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM HISTORY (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM FOLKLORE (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM SACRED MUSIC (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO AM POETRY (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AAAD-X 490,RDGS IN AFRO-AM FILM STUDIES (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1–3 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Jakobi Williams | 1/1
Waitlist 0"
AADM-Y 500,TOPICS IN ARTS ADMINISTRATION,1–6 credits,,Selected research and discussion topics organized on a semester by semester basis.,"Spring, Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | HD TBA | Adrian Starnes | 2/18
Waitlist 0"
AADM-Y 500,SEMINAR IN RURAL AND GRASSROOTS ARTS (TOPICS IN ARTS ADMINISTRATION),1–6 credits,,Selected research and discussion topics organized on a semester by semester basis.,"Spring, Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | HD TBA | Adrian Starnes | 2/18
Waitlist 0"
AADM-Y 502,INTRODUCTION TO ARTS ADMINSTRATION AND ORGANIZATIONAL BEHAVIOR,3 credits,,"This course introduces graduate students to the professional world of arts administration, its many disciplines, its dramatically and rapidly changing landscape, and the nature and culture of its organizations. Major concepts of organizational behavior by employees, administrators, and organizations themselves will be discussed.",Fall,"Class #: Open | MW
Monday, Wednesday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | SW 219 | Julia Dessauer | 5/30
Waitlist 0"
AADM-Y 506,CURATING IN GALLERIES AND MUSEUMS,3 credits,,"This course explores the idea and practice of curating, from displaying a single object to organizing a complex exhibition. Course provides a body of knowledge and helps students develop skills to curate and evaluate the role of curation and display of objects - all essential to museum and gallery management.",Fall,"Class #: Closed | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | WH 008 | Sarah Hatcher | 0/30
Waitlist 1"
AADM-Y 511,PERFORMING ARTS CENTER MANAGEMENT,3 credits,,Focuses on the business and legal aspects of contracting to present live performances and managing a performing arts facility. Including: the process of contracting and marketing a performance series; the issues involved with operating a performing arts center facility; the marketing forces at work in the live performance industry; the legal and ethical issues involved in the industry. Will provide students with a balance between academic and real world issues.,Fall,"Class #: Open | TuTh
Tuesday, Thursday
3:55 PM–5:10 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 105 | Doug Booher | 14/25
Waitlist 0"
AADM-Y 515,FINANCIAL MANAGEMENT FOR THE ARTS,3 credits,Class uses IU eTexts (436),"The course introduces students to the role of financial management in the modern not-for-profit organization.  This course covers applications of budgeting, financial and managerial accounting principles, and procedures and financial analysis for non-profit organizations.  Materials covered should be considered required knowledge for the mid-to senior-level arts administrator.","Spring, Fall","Class #: Open | M
Monday
2:20 PM–5:10 PM
Regular Academic Session
8/25/2025–12/19/2025 | PV A203 | JL Nave | 10/24
Waitlist 0"
